,Source,Target
0,I reccomend about five feet tall .,About five feet tall is good .
1,"I will be telling you about EV training , assembling a good team and how to not be a noob like Ash and use bad Pokémon like pikachu .","This will tell you about EV training , assembling a good team and how to not be a noob like Ash and use bad Pokémon like Pikachu ."
2,"I recommend NOT using HMs on your Pokémon unless it is Fly , ( you might need it in a hurry , but do n't use it in competitive battling ) Surf and for Gyarados , waterfall .","Do not use HMs on your Pokémon unless it is Fly , ( you might need it in a hurry , but do n't use it in competitive battling ) , Surf , and for Gyarados , Waterfall ."
3,tbs of caraway seeds .,tablespoons of caraway seeds
4,Then make the floor and walls of your house .,Then design the floor and walls of your house .
5,Smooth it out and take your screw driver and rub against the edge of the board to get the grit off of it so it will make a guideline for cutting .,! ! ! ) and take your screw driver and rub against the edge of the board to get the grit off of it so it will make a guideline for cutting .
6,Do n't be a b * tch .,Do n't be a bully .
7,"Or , if you 're feeling really bold , next time you catch a guy looking while you 're having a conversation hold your hand level with your chest and motion upward towards your face .","If you 're feeling really bold , next time you catch a guy looking while you 're having a conversation hold your hand level with your chest and motion upward towards your face ."
8,The State of California does not require ministers to register with the local government in order to solemnize marriages .,Note that the State of California does not require ministers to register with the local government in order to solemnize marriages .
9,California Family Code Section 401 ( b ) allows the Commissioner of Civil Marriages in a county to temporarily grant you the ability to perform a wedding without becoming ordained .,California Family Code Section 401 ( b ) permits the Commissioner of Civil Marriages in a county to temporarily grant you the ability to perform a wedding without becoming ordained .
10,"The State of California is a bit unique compared to other states , in that they offer a method for someone to perform a civil ceremony or a religious one .","The State of California is unique compared to other states , in that the government offers a method for someone to perform a civil ceremony or a religious one ."
11,"Jewelry designers who just start out begin by learning how to adjust , re-shape , and resize jewelry .","New jewelry designers usually just start out by learning how to adjust , re-shape , and resize jewelry ."
12,"Theres always gonna be someone who does n't like you , so ignore those comments .","There 's always going to be someone who does n't like you , so ignore those comments ."
13,"As a general rule of thumb , if you can see it than you are using too much .","As a rule of thumb , if you can see the glue , you 've put on too much ."
14,Each one has different fees and terms .,Each comes with its own fees and terms .
15,Choose the prepaid credit card you want to buy .,Decide which prepaid credit card you want to buy .
16,"You choose your piano to fit into the decor of the house , and it will reflect your sense of taste .","If you choose your piano to fit into the decor of the house , it will reflect your sense of taste ."
17,Buy a piano that is often used by music institutions such as conservatories and universities .,Find out which pianos are often used by music institutions such as conservatories and universities .
18,Buy the most expensive piano you can afford .,Expect to buy the most expensive piano you can afford .
19,"Uprights , 39 to 42 inches tall , are sometimes called consoles .","Uprights , 39 to 42 inches tall , are referred to as consoles ."
20,Starting a child on piano lessons would need a less expensive ' upright ' until they show a talent and desire to continue learning .,Starting a child on piano lessons would require a less expensive ' upright ' until they show a talent and desire to continue learning .
21,"Remember , you are not someone else 's tool .",You are not someone else 's tool .
22,Bring purses or small purses .,have an awesome nick name .
23,Do n't be mean .,Do n't be a pussy .
24,Do n't be a bully .,Do n't be a show off
25,Do n't be mean .,Do n't be a show off
26,Do n't be a show off,Do n't be a bully to anyone .
27,Do n't be mean .,Do n't be Elliot Robles
28,Know if you have recurrent infections .,Determine if you have recurrent infections .
29,Cooking with ginger spice does n't give you the same effectiveness as a tea or supplement because it does n't provide the same concentrated amount .,Cooking with ginger spice does n't have the same effectiveness as a tea or supplement because it does n't provide the same concentrated amount .
30,"It 's the app that has the image of a white circle with a pink , purple , and blue music note in the middle .","Double-click the app that has the image of a white circle with a pink , purple , and blue music note in the middle ."
31,If their family is imortant respect the time they may need to send their kids off to school in the morning or picking them up from school .,"If their family is important , respect the time they may need to send their kids off to school in the morning or pick them up in the afternoon ."
