,Source,Target
0,Make as many rooms as you want .,Add as many rooms as you want .
1,Then make the floor and walls of your house .,Then design the floor and walls of your house .
2,wear natural looking makeup .,Apply natural looking makeup .
3,Do you wanna save some money building your own skateboard instead of taking it to a skate shop ?,Do you want to save some money building your own skateboard instead of taking it to a skate shop ?
4,California Family Code Section 401 ( b ) allows the Commissioner of Civil Marriages in a county to temporarily grant you the ability to perform a wedding without becoming ordained .,California Family Code Section 401 ( b ) permits the Commissioner of Civil Marriages in a county to temporarily grant you the ability to perform a wedding without becoming ordained .
5,"Theres always gonna be someone who does n't like you , so ignore those comments .","There 's always going to be someone who does n't like you , so ignore those comments ."
6,Choose the prepaid credit card you want to buy .,Decide which prepaid credit card you want to buy .
7,got to the school in buildabear you could get about max 400 $ a day there,Go to the school in buildabear you could get about max 400 $ a day there .
8,Starting a child on piano lessons would need a less expensive ' upright ' until they show a talent and desire to continue learning .,Starting a child on piano lessons would require a less expensive ' upright ' until they show a talent and desire to continue learning .
9,Do n't be scared .,Do n't be afraid .
10,Do n't be a bully .,Do n't be a show off
11,Know if you have recurrent infections .,Determine if you have recurrent infections .
12,Cooking with ginger spice does n't give you the same effectiveness as a tea or supplement because it does n't provide the same concentrated amount .,Cooking with ginger spice does n't have the same effectiveness as a tea or supplement because it does n't provide the same concentrated amount .
13,Do n't submit to a casting call unless you know you can be there and stay for the duration of the shoot .,Do n't apply to a casting call unless you know you can be there and stay for the duration of the shoot .
14,dont tryto go after the girl he is currently dating .,Do n't try to go after the girl he is currently dating .
15,Younger kids might accidentally sqash the slug wanting to hold it or the might forget to care for the slug .,"Younger kids might accidentally squash the slug wanting to hold it , or they might forget to care for the slug ."
16,Or if it 's a person keep contact wit the person while teh fake friend is n't around .,"Or if it 's a person , keep contact with the person while the fake friend is n't around ."
17,"Be mindful of wearing clothes that are too revealing or too small for your body type , as they can be unflattering .","Be careful of wearing clothes that are too revealing or too small for your body type , as they can be unflattering ."
18,Note that fruits and vegetables contain water .,Remember that fruits and vegetables contain water .
19,This article will help set you on the right path to buying your first dirtbike .,This article will set you on the right path to buying your first dirt bike .
20,Place an anemone in the tank to make the clownfish feel more comfortable .,Placing anemone in the tank to make the clownfish feel more comfortable .
21,Get a mated pair .,Develop a mated pair .
22,Go to middle school baseball if your school has it .,Play middle school baseball if your school has it .
23,"Step 1-Try to figure out what your task 's earlier in the week , like say the weekend before .","Try to figure out what your task 's earlier in the week , like say the weekend before ."
24,Step 2-Write down what your tasks are and try to fit them in with your schedule or you can get a planner and write down what your task 's are for the week .,Write down what your tasks are and try to fit them in with your schedule or you can get a planner and write down what your task 's are for the week .
25,You are gonna be in the wilderness .,You are going to be in the wilderness .
26,How to Mount a Bicycle,How to Ride a Bicycle
27,How to Choose a Bicycle,How to Ride a Bicycle
28,A quick-release lever at the base of the seat post can be opened and adjusted by hand .,A quick-release lever at the base of the seat post can be pried opened and adjusted by hand .
29,Make a detailed list .,Write a detailed list .
30,Resist using the air conditioner .,Avoid using the air conditioner .
31,Get an Alien Baby in the Sims 2,Have an Alien Baby in The Sims 2
32,"If you want to sing professionally , you want to have to develop a certain amount of expertise regarding singing .","If you want to sing professionally , you have to develop a certain amount of expertise regarding singing ."
33,Boys LOVES Curves ; Boobs and Curves = Sexy - And Girls prefer Curves and boobs too !,Boys love Curves ; Boobs and Curves = Sexy - And Girls prefer Curves and boobs too !
34,Look for undergarments made for curvy shapes at local clothing stores or online .,Search for undergarments made for curvy shapes at local clothing stores or online .
35,Many tailors are also based close to dry cleaners or in busy strip malls .,Many tailors are also located close to dry cleaners or in busy strip malls .
36,"Generally speaking , blinking 300 times a day is not only contributing to tear secretion and alleviate the symptoms of dryness and austerity , but also clean eyes .","Generally speaking , blinking 300 times a day does not only contribute to tear secretion and alleviates the symptoms of dryness and austerity , but also cleans eyes ."
37,Take off the flat sheet on your bed .,Try taking off the flat sheet on your bed .
38,Pop an over-the-counter pain medication .,Take an over-the-counter pain medication .
39,• Volunteer at the library to teach adults to read .,Volunteer at the library to teach adults to read
40,"Once you 're happy with it , move on to another .","Once you 're happy with it , start another ."
41,Look into your state 's Department of Motor Vehicles website for more information .,Check your state 's Department of Motor Vehicles website for more information .
42,Not all of these suggestions are applicable in every state or country .,Not all of these suggestions are available in every state or country .
43,Act Like a Princess,Behave Like a Princess
44,"Remember , an eligiblity worker will decide whether or not you qualify .",Let an eligiblity worker will decide whether or not you qualify .
45,Earn a graduate degree .,Pursue a graduate degree .
46,Pursue an undergraduate degree .,Apply for an undergraduate degree .
47,Try to avoid putting faces or people on your card .,Avoid putting faces or people on your card .
48,Consider the company 's branding and and guidelines .,Follow the company 's branding and and guidelines .
49,"If you aren 't , she can beat you easier .","If you aren 't , she can win over you easier ."
50,Try to use smooth motions and do n't stop moving in the middle of lines .,Use smooth motions and do n't stop moving in the middle of lines .
51,"No more than 4 products at a time is great , and avoid all shades of blue , purple , green , and orange .","No more than 4 products at a time is perfect , and avoid all shades of blue , purple , green , and orange ."
52,Alot of Band t 's,Wear Alot of Band t 's .
53,It is highly suggested that you get a myspace account as it is easily edited to show your personality and is highly used by scene guys & chicks .,It is highly recommended that you get a myspace account as it is easily edited to show your personality and is highly used by scene guys & chicks .
54,Do n't copy other people .,Do n't label other people .
55,Dont wear kandi unless you attend raves .,Do n't call it kandi unless you attend raves .
56,"Your hair should be big , and should stick out in a crowd .","Your hair should be shiny , and should stick out in a crowd ."
57,Do n't copy other people .,Do n't label other people .
58,Buy garden seeds for the growing season you want to plant in .,Purchase garden seeds for the growing season you want to plant in .
59,"Buy hybrid seeds if you are interested in "" enhanced "" plants .","Purchase hybrid seeds if you are interested in "" enhanced "" plants ."
60,Write the couple 's first names for an informal style .,List the couple 's first names for an informal style .
61,"Write the couple 's names and then "" and Family "" for a casual envelope .","Put the couple 's names and then "" and Family "" for a casual envelope ."
62,Write the address under the names .,Include the address under the names .
