,Source,Target
0,Make as many rooms as you want .,Add as many rooms as you want .
1,wear natural looking makeup .,Apply natural looking makeup .
2,Do you wanna save some money building your own skateboard instead of taking it to a skate shop ?,Do you want to save some money building your own skateboard instead of taking it to a skate shop ?
3,got to the school in buildabear you could get about max 400 $ a day there,Go to the school in buildabear you could get about max 400 $ a day there .
4,Starting a child on piano lessons would need a less expensive ' upright ' until they show a talent and desire to continue learning .,Starting a child on piano lessons would require a less expensive ' upright ' until they show a talent and desire to continue learning .
5,Do n't be scared .,Do n't be afraid .
6,Do n't submit to a casting call unless you know you can be there and stay for the duration of the shoot .,Do n't apply to a casting call unless you know you can be there and stay for the duration of the shoot .
7,dont tryto go after the girl he is currently dating .,Do n't try to go after the girl he is currently dating .
8,"Be mindful of wearing clothes that are too revealing or too small for your body type , as they can be unflattering .","Be careful of wearing clothes that are too revealing or too small for your body type , as they can be unflattering ."
9,Place an anemone in the tank to make the clownfish feel more comfortable .,Placing anemone in the tank to make the clownfish feel more comfortable .
10,Get a mated pair .,Develop a mated pair .
11,Go to middle school baseball if your school has it .,Play middle school baseball if your school has it .
12,Make a detailed list .,Write a detailed list .
13,Resist using the air conditioner .,Avoid using the air conditioner .
14,Get an Alien Baby in the Sims 2,Have an Alien Baby in The Sims 2
15,Look for undergarments made for curvy shapes at local clothing stores or online .,Search for undergarments made for curvy shapes at local clothing stores or online .
16,Pop an over-the-counter pain medication .,Take an over-the-counter pain medication .
17,Act Like a Princess,Behave Like a Princess
18,Earn a graduate degree .,Pursue a graduate degree .
19,Do n't copy other people .,Do n't label other people .
20,Do n't copy other people .,Do n't label other people .
21,Write the couple 's first names for an informal style .,List the couple 's first names for an informal style .
22,"Write the couple 's names and then "" and Family "" for a casual envelope .","Put the couple 's names and then "" and Family "" for a casual envelope ."
23,Write the address under the names .,Include the address under the names .
24,Write your return address in the upper left corner of the envelope .,Put your return address in the upper left corner of the envelope .
25,Invest only what you can afford to lose .,Spend only what you can afford to lose .
26,Dial your country 's exit code .,Obtain your country 's exit code .
27,Get a signed letter of intent .,Execute a signed letter of intent .
28,Eat a balanced and healthy diet .,Maintain a balanced and healthy diet .
29,Choose a Bachelor of Arts / Science to teach high school children ( 12 - 18 ) .,Select a Bachelor of Arts / Science to teach high school children ( 12 - 18 ) .
30,"Click the "" Archive "" button .","Tap the "" Archive "" button ."
31,"Click the "" Archive "" button .","Tap the "" Archive "" button ."
32,Measure the circuit 's voltage .,Record the circuit 's voltage .
33,Measure the circuit 's current .,Record the circuit 's current .
34,Figure out how much it costs .,Find out how much it costs .
35,Draft a cover letter .,Write a cover letter .
36,Determine what size of table needed for your child .,Determining the size of table needed for your child .
37,Keep away from the clock .,Stay away from the clock .
38,Go to the Tumblr Savior website .,Open the Tumblr Savior website .
39,Ensure that all these accounts were reconciled monthly .,Check that all these accounts were reconciled monthly .
40,Undergo an SCR clearance .,Get an SCR clearance .
41,Locate the room or closet in your church that holds the altar serving robes .,Go to the room or closet in your church that holds the altar serving robes .
42,Locate the lector for the mass .,Find the lector for the mass .
43,Label your answer in cubic inches .,Write your answer in cubic inches .
44,Label your answer in cubic inches .,Display your answer in cubic inches .
45,Create Your Own Style,Have Your Own Style
46,Get the company 's information .,Obtain the company 's information .
47,Save the discussion page .,Select the discussion page .
48,Find Bouncy Supreme .,Go to Bouncy Supreme .
49,Getting lots of sleep .,Get lots of sleep .
50,Place the gammon in a saucepan with cold water and add ingredients .,Put the gammon in a saucepan with cold water and add ingredients .
51,Attach the fence from the bottom of the first post to the top .,Connect the fence from the bottom of the first post to the top .
52,Cutting the wood for the short ends of your crate .,Cut the wood for the short ends of your crate .
53,Cutting the wood for the long sides .,Cut the wood for the long sides .
54,Cutting the long wood into slats .,Cut the long wood into slats .
55,Obtain a graduate degree .,Earn a graduate degree .
56,Have good hygiene .,Practice good hygiene .
57,Put on the black high water pants .,Wear the black high water pants .
58,Put on the white tube socks .,Slide on the white tube socks .
59,Put on your choice of color shiny jacket .,Pick out your choice of color shiny jacket .
60,"Do n't critisize yourself , and fell free to express yourself .",Do n't criticize yourself and feel free to express yourself .
61,Have a close circle of friends .,Build a close circle of friends .
62,Handling a relationship is a tough responsible .,Handling a relationship is a tough responsibility .
63,Choose a skate package .,Consider a skate package .
64,Choose higher quality boots according to your level .,Select higher quality boots according to your level .
65,Choose the correct type of hockey skates .,Purchase the correct type of hockey skates .
66,Click on Wireless and Networks .,Tap on Wireless and Networks .
67,Choose Tethering and Portable Hotspot .,Tap on Tethering and Portable Hotspot .
68,Elevate Your Self Esteem,Improve Your Self Esteem
69,Bring the cash amount you want added to your PayPal account .,Present the cash amount you want added to your PayPal account .
70,Select a method to receive your PayPal Cash barcode .,Choose a method to receive your PayPal Cash barcode .
71,"DO : Befriend the Staff - if you want to become an expert at bars , do n't forget to build some allies .","Befriend the Staff - if you want to become an expert at bars , do n't forget to build some allies ."
72,Curl a Soccer Ball,Bend a Soccer Ball
73,"Touch the "" Add to Home Screen "" button .","Tap the "" Add to Home Screen "" button ."
