,Source,Target
0,Let an eligibility worker will decide whether or not you qualify .,An eligibility worker will decide whether or not you qualify .
1,Wear tight band t-shirts,Tight band t-shirts
2,get a GPS mobile phone,GPS mobile phone
3,get a GPS mobile phone,GPS mobile phone
4,"is the defense based cavalier , he has the highest hp and defense along all the cavaliers .","Lowen is the defense based cavalier , he has the highest hp and defense along all the cavaliers ."
5,Manufactures defects ( that are likely to fail early ) will be cover by the manufacturers warranty .,Manufacturer 's defects ( that are likely to fail early ) will be cover by the manufacturer 's warranty .
6,"Say when you 're available to interview , and thank the reader for their time .","Note when you 're available to interview , and thank the reader for their time ."
7,Buy a small air compressor powered by a battery,A small air compressor powered by a battery
8,Buy a small PVC ( NOT ABS ) valve,A small PVC ( NOT ABS ) valve
9,Buy 3 feet of 1 / 2 in Pipe,feet of 1 / 2 in Pipe
10,"Buy one cap and tire valve , or salvage tire valve from car or bike tire","One cap and tire valve , or salvage tire valve from car or bike tire"
11,Become a wikiHow Admin,Act As a wikiHow Admin
12,Keep treats for special occasions .,Reserve treats for special occasions .
13,Skip Internet Filtering in Iran,Bypass Internet Filtering in Iran
14,Hears how to be a good friend to one .,Here 's how to be a good friend to one .
15,Find a 3 % hydrogen peroxide solution .,A 3 % hydrogen peroxide solution .
16,shift the blame to others,shift blame to others
17,"is the exit code for most nations in Africa , Asia , Europe and South America .","00 is the exit code for most nations in Africa , Asia , Europe , and South America ."
18,is the exit code for Australia .,0011 is the exit code for Australia .
19,Write click on the folder icon and click ' Add to playlist ' and convert it to WMP playlist format .,Right-click on the folder icon and click ' Add to playlist ' and convert it to WMP playlist format .
20,"Delete a bookmark , tap the Bookmarks icon in Safari , then tap Edit in the corner of the screen .","To delete a bookmark , tap the Bookmarks icon in Safari , then tap Edit in the corner of the screen ."
21,Know your debt-to-income ratio .,Lower your debt-to-income ratio .
22,Treat a New Tattoo,Care for a New Tattoo
23,Start Internet Explorer .,Open Internet Explorer .
24,"Ask - In The Legend of Zelda : Twilight Princess and The Legend of Zelda : Skyward Sword you have a "" helper "" so to speak .","In The Legend of Zelda : Twilight Princess and The Legend of Zelda : Skyward Sword you have a "" helper "" so to speak ."
