,Source,SourcePOS,SourceDep,Target,TargetPOS,TargetDep
0,"Wear always protective equipment including helmets , kneepads and others .","['VB', 'RB', 'JJ', 'NN', 'VBG', 'NNS', ',', 'NNS', 'CC', 'NNS', '.']","[('root', 0), ('advmod', 3), ('amod', 4), ('obj', 1), ('case', 6), ('nmod', 4), ('punct', 8), ('conj', 6), ('cc', 10), ('conj', 6), ('punct', 1)]","Always Wear protective equipment including helmets , kneepads and others .","['RB', 'VB', 'JJ', 'NN', 'VBG', 'NNS', ',', 'NNS', 'CC', 'NNS', '.']","[('advmod', 2), ('root', 0), ('amod', 4), ('obj', 2), ('case', 6), ('nmod', 4), ('punct', 8), ('conj', 6), ('cc', 10), ('conj', 6), ('punct', 2)]"
1,Smooth it out and take your screw driver and rub against the edge of the board to get the grit off of it so it will make a guideline for cutting .,"['VB', 'PRP', 'RP', 'CC', 'VB', 'PRP$', 'NN', 'NN', 'CC', 'VB', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', 'IN', 'IN', 'PRP', 'IN', 'PRP', 'MD', 'VB', 'DT', 'NN', 'IN', 'VBG', '.']","[('root', 0), ('obj', 1), ('compound:prt', 1), ('cc', 5), ('conj', 1), ('nmod:poss', 8), ('compound', 8), ('obj', 5), ('cc', 10), ('conj', 1), ('case', 13), ('det', 13), ('obl', 10), ('case', 16), ('det', 16), ('nmod', 13), ('mark', 18), ('advcl', 10), ('det', 20), ('obj', 18), ('case', 23), ('case', 23), ('obl', 18), ('mark', 27), ('nsubj', 27), ('aux', 27), ('advcl', 18), ('det', 29), ('obj', 27), ('mark', 31), ('acl', 29), ('punct', 1)]",! ! ! ) and take your screw driver and rub against the edge of the board to get the grit off of it so it will make a guideline for cutting .,"['.', '.', '.', '-RRB-', 'CC', 'VB', 'PRP$', 'NN', 'NN', 'CC', 'VB', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', 'TO', 'VB', 'DT', 'NN', 'IN', 'IN', 'PRP', 'IN', 'PRP', 'MD', 'VB', 'DT', 'NN', 'IN', 'VBG', '.']","[('punct', 6), ('punct', 6), ('punct', 6), ('punct', 6), ('cc', 6), ('root', 0), ('nmod:poss', 9), ('compound', 9), ('obj', 6), ('cc', 11), ('conj', 6), ('case', 14), ('det', 14), ('obl', 11), ('case', 17), ('det', 17), ('nmod', 14), ('mark', 19), ('advcl', 11), ('det', 21), ('obj', 19), ('case', 24), ('case', 24), ('obl', 19), ('mark', 28), ('nsubj', 28), ('aux', 28), ('advcl', 19), ('det', 30), ('obj', 28), ('mark', 32), ('acl', 30), ('punct', 6)]"
2,Get a quality piano but do not buy the most expensive .,"['VB', 'DT', 'NN', 'NN', 'CC', 'VB', 'RB', 'VB', 'DT', 'RBS', 'JJ', '.']","[('root', 0), ('det', 4), ('compound', 4), ('obj', 1), ('cc', 8), ('aux', 8), ('advmod', 8), ('conj', 1), ('det', 11), ('advmod', 11), ('xcomp', 8), ('punct', 1)]",Or get a quality piano but do not buy the most expensive .,"['CC', 'VB', 'DT', 'NN', 'NN', 'CC', 'VB', 'RB', 'VB', 'DT', 'RBS', 'JJ', '.']","[('cc', 9), ('root', 0), ('det', 5), ('compound', 5), ('obj', 2), ('cc', 9), ('aux', 9), ('advmod', 9), ('conj', 2), ('det', 12), ('advmod', 12), ('xcomp', 9), ('punct', 2)]"
3,"Remember , you are not someone else 's tool .","['VB', ',', 'PRP', 'VBP', 'RB', 'NN', 'JJ', 'POS', 'NN', '.']","[('root', 0), ('punct', 1), ('nsubj', 9), ('cop', 9), ('advmod', 9), ('nmod:poss', 9), ('amod', 6), ('case', 6), ('ccomp', 1), ('punct', 1)]",You are not someone else 's tool .,"['PRP', 'VBP', 'RB', 'NN', 'JJ', 'POS', 'NN', '.']","[('nsubj', 7), ('cop', 7), ('advmod', 7), ('nmod:poss', 7), ('amod', 4), ('case', 4), ('root', 0), ('punct', 7)]"
4,Thought do n't be afraid of asking your crush !,"['VBD', 'VB', 'RB', 'VB', 'JJ', 'IN', 'VBG', 'PRP$', 'NN', '.']","[('root', 0), ('aux', 5), ('advmod', 5), ('cop', 5), ('ccomp', 1), ('mark', 7), ('advcl', 5), ('nmod:poss', 9), ('obj', 7), ('punct', 1)]",Though do n't be afraid of asking your crush !,"['RB', 'VB', 'RB', 'VB', 'JJ', 'IN', 'VBG', 'PRP$', 'NN', '.']","[('advmod', 5), ('aux', 5), ('advmod', 5), ('cop', 5), ('root', 0), ('mark', 7), ('advcl', 5), ('nmod:poss', 9), ('obj', 7), ('punct', 5)]"
5,Search the federal Supreme Court website for cases that have made it to the Supreme Court level .,"['VB', 'DT', 'JJ', 'NNP', 'NNP', 'NN', 'IN', 'NNS', 'WDT', 'VBP', 'VBN', 'PRP', 'IN', 'DT', 'NNP', 'NNP', 'NN', '.']","[('root', 0), ('det', 6), ('amod', 6), ('compound', 5), ('compound', 6), ('obj', 1), ('case', 8), ('obl', 1), ('nsubj', 11), ('aux', 11), ('acl:relcl', 8), ('obj', 11), ('case', 17), ('det', 17), ('compound', 16), ('compound', 17), ('obl', 11), ('punct', 1)]","For cases that have made it to the Supreme Court level , visit the federal Supreme Court website .","['IN', 'NNS', 'WDT', 'VBP', 'VBN', 'PRP', 'IN', 'DT', 'NNP', 'NNP', 'NN', ',', 'VB', 'DT', 'JJ', 'NNP', 'NNP', 'NN', '.']","[('case', 2), ('obl', 13), ('nsubj', 5), ('aux', 5), ('acl:relcl', 2), ('obj', 5), ('case', 11), ('det', 11), ('compound', 10), ('compound', 11), ('obl', 5), ('punct', 13), ('root', 0), ('det', 18), ('amod', 18), ('compound', 17), ('compound', 18), ('obj', 13), ('punct', 13)]"
6,Buy plenty of water bottles .,"['VB', 'NN', 'IN', 'NN', 'NNS', '.']","[('root', 0), ('obj', 1), ('case', 5), ('compound', 5), ('nmod', 2), ('punct', 1)]",This way you can hear the news .,"['DT', 'NN', 'PRP', 'MD', 'VB', 'DT', 'NN', '.']","[('det', 2), ('obl:npmod', 5), ('nsubj', 5), ('aux', 5), ('root', 0), ('det', 7), ('obj', 5), ('punct', 5)]"
7,Put it in the safe room .,"['VB', 'PRP', 'IN', 'DT', 'JJ', 'NN', '.']","[('root', 0), ('obj', 1), ('case', 6), ('det', 6), ('amod', 6), ('obl', 1), ('punct', 1)]",This should go in the safe room .,"['DT', 'MD', 'VB', 'IN', 'DT', 'JJ', 'NN', '.']","[('nsubj', 3), ('aux', 3), ('root', 0), ('case', 7), ('det', 7), ('amod', 7), ('obl', 3), ('punct', 3)]"
8,Promotes relaxation and can improve your mood .,"['VBZ', 'NN', 'CC', 'MD', 'VB', 'PRP$', 'NN', '.']","[('root', 0), ('obj', 1), ('cc', 5), ('aux', 5), ('conj', 1), ('nmod:poss', 7), ('obj', 5), ('punct', 1)]",Meditation promotes relaxation and can improve your mood .,"['NN', 'VBZ', 'NN', 'CC', 'MD', 'VB', 'PRP$', 'NN', '.']","[('nsubj', 2), ('root', 0), ('obj', 2), ('cc', 6), ('aux', 6), ('conj', 2), ('nmod:poss', 8), ('obj', 6), ('punct', 2)]"
9,makes hair soft and bouncy .,"['VBZ', 'NN', 'JJ', 'CC', 'JJ', '.']","[('root', 0), ('obj', 1), ('xcomp', 1), ('cc', 5), ('conj', 3), ('punct', 1)]",It makes hair soft and bouncy .,"['PRP', 'VBZ', 'NN', 'JJ', 'CC', 'JJ', '.']","[('nsubj', 2), ('root', 0), ('obj', 2), ('xcomp', 2), ('cc', 6), ('conj', 4), ('punct', 2)]"
10,Exhaust all other possible options before pursuing one of the loans described in the final method of this article .,"['VB', 'DT', 'JJ', 'JJ', 'NNS', 'IN', 'VBG', 'CD', 'IN', 'DT', 'NNS', 'VBN', 'IN', 'DT', 'JJ', 'NN', 'IN', 'DT', 'NN', '.']","[('root', 0), ('det', 5), ('amod', 5), ('amod', 5), ('obj', 1), ('mark', 7), ('advcl', 1), ('obj', 7), ('case', 11), ('det', 11), ('nmod', 8), ('acl', 11), ('case', 16), ('det', 16), ('amod', 16), ('obl', 12), ('case', 19), ('det', 19), ('nmod', 16), ('punct', 1)]","Some of the sites that provided this peer to peer loan service include Prosper , Lending Club , and Peerform .","['DT', 'IN', 'DT', 'NNS', 'WDT', 'VBD', 'DT', 'NN', 'IN', 'NN', 'NN', 'NN', 'VBP', 'NNP', ',', 'NNP', 'NNP', ',', 'CC', 'NNP', '.']","[('nsubj', 13), ('case', 4), ('det', 4), ('nmod', 1), ('nsubj', 6), ('acl:relcl', 4), ('det', 8), ('obj', 6), ('case', 12), ('compound', 11), ('compound', 12), ('obl', 6), ('root', 0), ('obj', 13), ('punct', 17), ('compound', 17), ('conj', 14), ('punct', 20), ('cc', 20), ('conj', 14), ('punct', 13)]"
11,Return the application to the social services office it was picked up from or mail it to the office .,"['VB', 'DT', 'NN', 'IN', 'DT', 'JJ', 'NNS', 'NN', 'PRP', 'VBD', 'VBN', 'RP', 'IN', 'CC', 'VB', 'PRP', 'IN', 'DT', 'NN', '.']","[('root', 0), ('det', 3), ('obj', 1), ('case', 8), ('det', 8), ('amod', 7), ('compound', 8), ('obl', 1), ('nsubj:pass', 11), ('aux:pass', 11), ('parataxis', 1), ('compound:prt', 11), ('obl', 15), ('cc', 15), ('conj', 11), ('obj', 15), ('case', 19), ('det', 19), ('obl', 15), ('punct', 1)]","If you apply with a paper application , take it or mail it to the social services office .","['IN', 'PRP', 'VBP', 'IN', 'DT', 'NN', 'NN', ',', 'VB', 'PRP', 'CC', 'VB', 'PRP', 'IN', 'DT', 'JJ', 'NNS', 'NN', '.']","[('mark', 3), ('nsubj', 3), ('advcl', 9), ('case', 7), ('det', 7), ('compound', 7), ('obl', 3), ('punct', 9), ('root', 0), ('obj', 9), ('cc', 12), ('conj', 9), ('obj', 12), ('case', 18), ('det', 18), ('amod', 17), ('compound', 18), ('obl', 12), ('punct', 9)]"
12,Let an eligibility worker will decide whether or not you qualify .,"['VB', 'DT', 'NN', 'NN', 'MD', 'VB', 'IN', 'CC', 'RB', 'PRP', 'VBP', '.']","[('root', 0), ('det', 4), ('compound', 4), ('obj', 1), ('aux', 6), ('xcomp', 1), ('mark', 11), ('fixed', 7), ('fixed', 7), ('nsubj', 11), ('ccomp', 6), ('punct', 1)]",An eligibility worker will decide whether or not you qualify .,"['DT', 'NN', 'NN', 'MD', 'VB', 'IN', 'CC', 'RB', 'PRP', 'VBP', '.']","[('det', 3), ('compound', 3), ('nsubj', 5), ('aux', 5), ('root', 0), ('mark', 10), ('fixed', 6), ('fixed', 6), ('nsubj', 10), ('ccomp', 5), ('punct', 5)]"
13,Read the article if you want to be a snow princess !,"['VB', 'DT', 'NN', 'IN', 'PRP', 'VBP', 'TO', 'VB', 'DT', 'NN', 'NN', '.']","[('root', 0), ('det', 3), ('obj', 1), ('mark', 6), ('nsubj', 6), ('advcl', 1), ('mark', 11), ('cop', 11), ('det', 11), ('compound', 11), ('xcomp', 6), ('punct', 1)]","If you want to be snow princess , you have to love snow .","['IN', 'PRP', 'VBP', 'TO', 'VB', 'NN', 'NN', ',', 'PRP', 'VBP', 'TO', 'VB', 'NN', '.']","[('mark', 3), ('nsubj', 3), ('advcl', 10), ('mark', 7), ('cop', 7), ('compound', 7), ('xcomp', 3), ('punct', 10), ('nsubj', 10), ('root', 0), ('mark', 12), ('xcomp', 10), ('obj', 12), ('punct', 10)]"
