Article_Name	Revision_Tag	Revision_Length	BLEU_Score	Section_Src	Line_No_Src	Source_Line	Section_Tgt	Line_No_Tgt	Target_Line	edit_distance
Be_Positive_when_Surrounded_by_Negativity.txt	Begin_Revisions	2	0.659	Intro	92	We're not physically attached to every individual we deal with day in and day out.	## Steps	106	Decide on the people in your life! We're not physically attached to every individual we deal with day in and day out.	35
Be_Positive_when_Surrounded_by_Negativity.txt	Inside_Revisions	2	0.32299999999999995	## Steps	257	Decide on the people in your life! We're not physically attached to every individual we deal with day in and day out.	## Steps	281	We're not physically attached to every individual that we deal with on a daily basis.	54
Be_Positive_when_Surrounded_by_Negativity.txt	Begin_Revisions	2	0.7609999999999999	## Steps	231	It could be a thing modest, like acknowledging a recent accomplishment.	## Steps	256	It could be a something modest, like acknowledging a recent accomplishment.	4
Be_Positive_when_Surrounded_by_Negativity.txt	Inside_Revisions	2	0.507	## Steps	256	It could be a something modest, like acknowledging a recent accomplishment.	## Steps	280	It could be something modest, like acknowledging a recent accomplishment or complementing them on something.	37
Be_Positive_when_Surrounded_by_Negativity.txt	Begin_Revisions	2	0.752	## Steps	231	Even just asking them how they are undertaking might help them to open up a little and get items off their chest.	## Steps	256	Even just asking them how they are doing might help them to open up a little and get things off their chest.	12
Be_Positive_when_Surrounded_by_Negativity.txt	Inside_Revisions	2	0.47200000000000003	## Steps	256	Even just asking them how they are doing might help them to open up a little and get things off their chest.	## Steps	280	Even just asking them how they are doing might help them open up to you and tell you about how they really feel.	37
Care_for_an_Angelfish.txt	Begin_Revisions	2	0.851	## Steps	61	A 40-55 gallon can keep at least a pair of angelfish.	## Steps	113	While, 40-55 gallon can keep at least a pair of angelfish.	6
Care_for_an_Angelfish.txt	Inside_Revisions	2	0.519	## Steps	2063	While, 40-55 gallon can keep at least a pair of angelfish.	## Steps	2134	A 29 gallon aquarium can keep a single fish while a 40-55 gallon can keep at least a pair of angelfish.	47
Care_for_an_Angelfish.txt	Begin_Revisions	2	0.7070000000000001	## Steps	61	Since the angelfish is a tropical fish it is best for them to be in an aquarium that is heated with a temperature of 75*-80* and fully cycled.	## Steps	113	Since the angelfish is a tropical fish it is best for them to be in an aquarium that is heated with a temperature of 75F*-80F* and fully cycled as for all aquatic life.	26
Care_for_an_Angelfish.txt	Inside_Revisions	2	0.42700000000000005	## Steps	3759	Since the angelfish is a tropical fish it is best for them to be in an aquarium that is heated with a temperature of 75F*-80F* and fully cycled as for all aquatic life.	## Steps	3816	Since the angelfish is a tropical fish it is best for them to be in an aquarium that is heated.	73
Care_for_an_Angelfish.txt	Begin_Revisions	2	0.461	## Steps	63	Since the pterophyllum is a tall slender fish it is best to provide hiding spots.	## Steps	115	Since the Angelfish is a tall slender fish it is best to provide hiding spots for it to hide like tall realistic/fake plants.	59
Care_for_an_Angelfish.txt	Inside_Revisions	2	0.541	## Tips	2084	A well pH level for it should at least be 6.8-7.5	## Tips	2148	A good pH level should at least be 6.8-7.5	11
Care_for_an_Angelfish.txt	Begin_Revisions	2	0.6970000000000001	## Section::::Video.	1094	This video is to present you with an example of how angelfish react towards other fish while protecting their eggs.	## Section::::Video.	1159	This video is to present you with an example of how angelfish react towards other species of fish and other angelfish while protecting their eggs.	31
Care_for_an_Angelfish.txt	Inside_Revisions	2	0.682	## Section::::Video.	1159	This video is to present you with an example of how angelfish react towards other species of fish and other angelfish while protecting their eggs.	## Section::::Video.	1224	This video is to present you with an example of how angelfish react towards other species of fish and other angelfish while protecting their eggs and chasing off other fish in the aquarium near their eggs.	59
Care_for_an_Angelfish.txt	Begin_Revisions	2	0.89	## Section::::Related wikiHows.	2057	Freshwater Angelfish are some of the most common tropical fish in pet stores and are well for beginners if they are cared for properly.	## Section::::Related wikiHows.	2128	Freshwater angelfish are some of the most common tropical fish in pet stores and are good for beginners if they are cared for properly.	5
Care_for_an_Angelfish.txt	Inside_Revisions	2	0.6970000000000001	## Section::::Related wikiHows.	3753	Freshwater angelfish are some of the most common tropical fish in pet stores and are good for beginners if they are cared for properly.	## Section::::Related wikiHows.	3810	Freshwater angelfish are some of the most common tropical fish in pet stores and are good for beginners.	31
Care_for_an_Angelfish.txt	Begin_Revisions	2	0.385	## Tips	2668	They cannot be kept with neon tetras.	## Tips	2726	They cannot be kept with neon tetras or other smaller fish likely to be eaten.	41
Care_for_an_Angelfish.txt	Inside_Revisions	2	0.778	## Tips	4516	They cannot be kept with neon tetras or other smaller fish likely to be eaten.	## Tips	4573	They cannot be kept with neon tetras or other smaller fish that are likely to be eaten.	9
Care_for_an_Angelfish.txt	Begin_Revisions	2	0.769	## Steps	3068	Then, once acclimating is done, gently remove the angelfish from the bag.	## Steps	3126	Then, once acclimating is done, gently remove the angelfish from the bag with a net.	11
Care_for_an_Angelfish.txt	Inside_Revisions	2	0.33	## Steps	5020	Then, once acclimating is done, gently remove the angelfish from the bag with a net.	## Steps	5078	Then, once acclimating is done, gently remove the angelfish from the bag with a net(or change all the water in the bag over a period of time as a net can damage the fragile parts of the fish especially when they are small).	139
Care_for_an_Angelfish.txt	Begin_Revisions	2	0.6409999999999999	## Steps	3760	Since angelfish belong to the cichlidae family they obviously are aggressive.	## Steps	3817	Since angelfish belong to the cichlidae family the are aggressive.	11
Care_for_an_Angelfish.txt	Inside_Revisions	2	0.634	## Steps	3817	Since angelfish belong to the cichlidae family the are aggressive.	## Steps	3874	Since angelfish belong to the cichlidae family, they are aggressive.	2
Answer_when_Someone_Asks_How_You_Are.txt	Begin_Revisions	2	0.884	### Giving a Polite Answer	186	You may use these response if you are talking to someone at work you do not know well, such as a co worker, a client, or your boss.	### Giving a Brief, Standard Response	231	You may use these response if you are talking to someone at work you do not know well, such as a coworker, a client, or your boss.	1
Answer_when_Someone_Asks_How_You_Are.txt	Inside_Revisions	2	0.38799999999999996	### Giving a Brief, Standard Response	231	You may use these response if you are talking to someone at work you do not know well, such as a coworker, a client, or your boss.	### Giving a Brief, Standard Response	281	You can use these responses if you are speaking to someone in a social situation you do not know well, such as an acquaintance at a party or someone you have just met while out and about. #*You can also use these response if you are talking to someone at work you do not know well, such as a coworker, a client, or your boss.	195
Answer_when_Someone_Asks_How_You_Are.txt	Begin_Revisions	2	0.688	### Providing an Honest Answer	199	Respond honestly when you are talking to a close friend, a family member, or your partner.	### Providing an Answer to Encourage Conversation	241	You may provide a more long-winded answer when you are talking to a close friend, a family member, or your partner.	33
Answer_when_Someone_Asks_How_You_Are.txt	Inside_Revisions	2	0.541	### Providing an Answer to Encourage Conversation	440	You may provide a more long-winded answer when you are talking to a close friend, a family member, or your partner.	### Providing an Answer to Encourage Conversation	490	Give a detailed answer when responding to a close friend, a family member, or your partner.	35
Answer_when_Someone_Asks_How_You_Are.txt	Begin_Revisions	2	0.5760000000000001	### Providing an Answer to Encourage Conversation	452	For some people, if you ask them the same question, they may nod and smile and then be on their way.	### Providing an Answer to Encourage Conversation	503	"For some people, if you ask them the same question, they may nod and say ""I'm good"" or ""I'm fine,"" and then be on their way."	25
Answer_when_Someone_Asks_How_You_Are.txt	Inside_Revisions	2	0.927	### Providing an Answer to Encourage Conversation	503	"For some people, if you ask them the same question, they may nod and say ""I'm good"" or ""I'm fine,"" and then be on their way."	### Providing an Answer to Encourage Conversation	554	"For some people, if you ask them the same question, they may nod and say ""I'm good"" or ""I'm fine"" and then be on their way."	1
Apply_Nail_Polish_Neatly.txt	Begin_Revisions	2	0.45	## Tips	26	Make sure you look after your nails; this article is useful http://www.wikihow.com/Look-After-Your-Nails	## Tips	69	Make sure you look after your nails.	68
Apply_Nail_Polish_Neatly.txt	Inside_Revisions	2	0.525	## Tips	422	Make sure you look after your nails.	## Tips	474	Make sure you [http://www.wikihow.com/Look-After-Your-Nails look after your nails.	46
Apply_Nail_Polish_Neatly.txt	Begin_Revisions	2	0.5379999999999999	## Tips	527	Make sure you [http://www.wikiHow.com/Look-After-Your-Nails look after your nails.	## Tips	580	Make sure you look after your nails.	46
Apply_Nail_Polish_Neatly.txt	Inside_Revisions	2	0.312	## Warnings	3252	If this does happen rinse your hands under cold water.	## Steps	3282	Drain the sink and rinse your hands with cold water.	21
Apply_Nail_Polish_Neatly.txt	Begin_Revisions	2	0.89	## Tips	740	You could also dip a Q-tip in nail polish remover and rub away specks o your skin as an alternate to the hot water.	## Tips	793	You could also dip a Q-tip in nail polish remover and rub away specks on your skin as an alternate to the hot water.	1
Apply_Nail_Polish_Neatly.txt	Inside_Revisions	2	0.6459999999999999	## Tips	4706	You could also dip a Q-tip in nail polish remover and rub away specks on your skin as an alternate to the hot water.	## Tips	4815	You could also dip a Q-tip in nail polish remover and rub away specks on your skin.	33
Apply_Nail_Polish_Neatly.txt	Begin_Revisions	2	0.85	### Preparing Your Nails for Polish	4985	Locate a nail clippers, emery board, and a gentle buffer.	### Preparing Your Nails for Polish	5109	Locate nail clippers, emery board, and a gentle buffer.	2
